[2025-07-20 17:31:52.598] [info]  DiscordSplash.signalReady
[2025-07-20 17:31:52.840] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-20 17:31:52.840] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-20 17:31:52.841] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-20 17:31:52.841] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-20 17:31:52.842] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-20 17:31:52.842] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-20 17:31:52.842] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-20 17:31:52.842] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-20 17:31:52.842] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-20 17:31:52.843] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-20 17:31:52.843] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-20 17:31:52.843] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-20 17:31:52.843] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-20 17:31:52.843] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-20 17:31:52.980] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-20 17:31:52.980] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-20 17:31:53.434] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-07-20 17:31:53.434] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-07-20 17:31:53.451] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-07-20 17:31:53.451] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-07-20 17:31:53.463] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-07-20 17:31:53.463] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-07-20 17:31:53.475] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-07-20 17:31:53.475] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-07-20 17:31:53.478] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-07-20 17:31:53.479] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-07-20 17:31:53.483] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-07-20 17:31:53.483] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-07-20 17:31:53.490] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-07-20 17:31:53.490] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-07-20 17:31:53.494] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-07-20 17:31:53.494] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-07-20 17:31:53.508] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-07-20 17:31:53.508] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-07-20 17:31:53.511] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-07-20 17:31:53.511] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-07-20 17:31:53.512] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-07-20 17:31:53.512] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-07-20 17:31:53.513] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-07-20 17:31:53.513] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
